,label,portion_info,energy,protein,total_fat,carbs,fibre,sodium,portion_size
2151,mee rebus,Plate-23cm (571g),559.24,21.01,18.16,78,11.25,2268.87,571
2152,"Mee rebus, without gravy",Bowl-soup (16 and 1/2 cm) (463g),474.11,18.52,19.86,55.33,10.97,1895.99,463
2153,Mee siam,Plate-23cm (577g),521.15,20.89,19.27,64.1,3.58,2346.66,577
2154,Mee siam (2018),Bowl-soup (16 and 1/2 cm) (624g),561.6,18.72,18.47,79.87,4.99,2808,624
2155,"Mee siam, without gravy",Plate-20cm (368g),563.04,15.46,19.87,81.7,11.78,1008.32,368
2156,Mee soto,Bowl-soup (16 and 1/2 cm) (541g),432.8,19.48,12.98,60.05,3.79,2677.95,541
2157,"Mee sua, cooked",1 portion (100g),190,13.9,0.9,31.6,4.4,846,100
2158,"Mee sua, raw",Packet (37g),130.61,4.07,0.04,28.68,1.92,22.53,37
2159,"Mee, bandung style",Bowl-rice (11and 1/2 cm) (450g),444.11,19.4,15.71,56.3,4.14,1924.34,450
2160,Mekhala lemongrass turmeric paste,Whole (100g),173,2.1,10.8,19.6,2.9,1908,100
2161,"Meringue, commerial",Cylindrical Piece/Tube (25g),91.99,0.65,0.35,22.53,0,10,25
2162,Miang kham,100g,274,5.4,13.3,29.5,7.4,333,100
2164,Milk,Cup (256g),183.56,8.96,8.7,18.18,0,92.16,256
2165,Milk bread,Slice (18g),38.52,2.05,0.44,6.61,0.47,70.02,18
2166,"Milk fish, raw",Whole (384g),247.68,32.2,12.88,0.83,0,82.56,384
2167,"Milk powder, skimmed/low fat, high calcium, instant",Tablespoon (7g),19.53,1.83,0.55,1.79,0,15.33,7
2168,"Milk shake, chocolate, McDonalds'",Glass (250ml) (360g),396,18,9,67,1.01,111.6,360
2169,Milk sugar,Gram (1g),3.84,0,0,0.98,0,0.11,1
2170,"Milk tea no toppings, 0% sugar",Cup (460g),156.4,1.38,13.66,6.9,6.44,33.17,460
2171,Milk tea with pearls,1 portion (424g),334.96,0.42,13.57,52.58,1.7,33.92,424
2172,"Milk tea with pearls, 0% sugar",Cup (478g),272.46,0.48,10.32,43.98,4.3,33.94,478
2173,"Milk tea, bottled",Bottle (500g),185,4.5,3,35,6,109,500
2174,"Milk tea, no toppings, 100% sugar",Cup (470g),296.1,0.47,14.57,40.89,6.11,35.63,470
2175,"Milk, filled",Can (525g),1786.81,45.68,49.35,287.7,0,708.75,525
2176,"Milk, filled, sweetened, condensed, canned",Can (525g),1800.61,44.63,62.48,264.6,0,556.5,525
2177,"Milk, flavoured, low fat",Cup (200g),100,7.2,1.8,14,0.6,82,200
2178,"Milk, fluid, UHT, commercial",Cup (250g),160.88,8.75,9.25,11.25,0,107.5,250
2179,"Milk, goat, fluid, whole",Cup (258g),1035.45,72.76,13.42,156.35,0,1400.94,258
2180,"Milk, low fat, UHT",Cup (250g),95,9,3,7.75,0,107.5,250
2182,"Milk, malted, powder",Tablespoon (11g),43.46,1.4,0.76,7.74,0.01,16.28,11
2183,"Milk, multigrain, low fat",Cup (250g),97.5,9,1.5,12,0.75,100,250
2184,"Milk, powder, goat, whole",Tablespoon (8g),39.28,2.18,2.17,2.92,0,23.6,8
2186,"Milk, powder, whole, instant",Tablespoon (7g),34.51,1.9,1.86,2.54,0,30.8,7
2187,"Milk, reduced fat, evaporated, canned",Cup (265g),242.18,20.94,5.57,28.09,0,278.25,265
2188,"Milk, skimmed, evaporated, canned",Cup (268g),201.96,20.64,1.07,28.14,0,243.88,268
2189,"Milk, skimmed, sweetened, condensed",Cup (335g),917.63,33.5,0.67,202.01,0,418.75,335
2190,"Milk, skimmed, UHT",Cup (250g),65,9,0,7.25,0,97.5,250
2191,"Milk, sweetened condensed, low fat",Tablespoon (30g),71.4,2.85,0.06,14.82,0,26.7,30
2192,"Milk, whole",Cup (200g),128,6.4,7.4,9,0.2,66,200
2193,"Milk, whole, evaporated, canned",One quarter (100g),141.15,7.6,8.1,9.9,0,104,100
2194,"Milk, whole, sweetened, condensed, canned",Cup (325g),1088.25,28.6,28.93,178.43,0,406.25,325
2195,"Milkshake, strawberry, McDonald's",Cup (360g),392.4,14.4,9,68,0,169.2,360
2196,"Milkshake, vanilla, Burger King",Glass (250ml) (284g),318.08,11.36,8.61,50.41,0,269.8,284
2197,"Milkshake, vanilla, McDonald's",Cup (360g),388.8,14.4,9,67,0,100.8,360
2198,Mille Crepe Cake Original,Slice (74g),187.22,4.14,13.24,12.88,0.44,42.03,74
2199,"Millet, raw",Cup (140g),501.2,12.6,4.34,102.9,2.24,5.74,140
2200,Milo,Glass (250ml) (250g),120.18,3.75,3.25,18.98,0.93,51.05,250
2201,Milo dinosaur,Mug (450g),356.9,11.3,9.72,56.12,3.02,153.41,450
2202,Milo drink,Glass (250ml) (250g),120.18,3.75,3.25,18.98,0.93,51.05,250
2203,"Milo drink, less sweet",Glass (250ml) (250g),92.5,2.75,3.5,15,2,28.75,250
2204,Milo Godzilla,Mug (500g),474.57,12.33,19.31,62.96,2.43,171.99,500
2205,Milo powder (HCS),Tablespoon (7g),25.48,0.85,0.66,4.04,0.35,7.77,7
2206,"Milo powder, Australia",Cup (85g),326.4,10.71,8.93,50.83,3.4,144.5,85
2207,"Milo, 3-in-1, Easy-Cool (HCS)",Sachet (26g),106.86,2.47,2.37,18.17,0.78,52,26
2208,"Milo, 3-in-1, powder",Sachet (30g),123.3,2.61,3.18,20.97,0.9,60,30
2209,"Milo, ready-to-drink",Packet (250g),150,4.25,3.75,23.75,1.25,75,250
2210,Minced lamb curry with potato,Plate-16cm (159.88g),230.23,13.91,14.55,11.03,2.56,358.13,159.88
2211,"Minced lamb, with coconut milk, tomato and spices",Plate-16cm (70.47g),145.81,11.58,10.46,1.4,1.88,236.5,70.47
2212,Minced pork and mushroom steamed with preseved vegetable,Plate-16cm (120g),251.88,16.2,19.75,2.32,2.46,591.72,120
2213,Minced pork porridge,Bowl-soup (16 and 1/2 cm) (524g),319.64,15.72,9.96,41.92,3.14,738.84,524
2214,"Minced pork soup, with spinach",Bowl-soup (16 and 1/2 cm) (166.78g),25.85,1.25,2.22,0.2,0.48,250.84,166.78
2215,Minced pork tofu soup,Bowl-soup (16 and 1/2 cm) (692g),167.05,21.45,6.92,4.84,0.69,3072.48,692
2216,"Minced pork, with bean paste, canned",Can (178g),574.94,33.29,33.82,34.18,2.14,1539.7,178
2217,"Minced pork, with cucumber, stir fried",Plate-16cm (175.03g),221.24,12.36,18.19,2.03,1.96,405.02,175.03
2218,Minestrone,Cup (235g),143,8.2,2.6,22.7,4.2,611,235
2219,"Mini boat noodles, beef",Bowl-soup (16 and 1/2 cm) (573g),406.83,22.35,10.6,55.01,4.01,3174.42,573
2220,"Mini boat noodles, pork",Bowl-soup (16 and 1/2 cm) (565g),423.75,22.6,12.37,55.37,3.39,2785.45,565
2221,"Mini Italian (white) Bread, Subway",Whole (45g),127.8,4.95,2,23,1,197.1,45
2222,Mini spring roll with dried shrimp filling,Piece (4.5g),22.77,0.49,1.39,2.07,0.14,41.22,4.5
2223,"Mini Wheat Bread, Subway",Whole (46g),126.96,5.06,1.7,21,2,187.22,46
2224,"Mint, leaf, fresh",Cup (42g),9.75,0.83,0.19,1.14,0.24,2.68,42
2225,Miso paste,Tablespoon (18g),29.7,1.94,0.92,3.44,1.24,840.06,18
2226,Miso ramen,Bowl-soup (16 and 1/2 cm) (553g),316.32,17.31,6.14,48,3.48,1715.41,553
2227,miso soup,Bowl-rice (11and 1/2 cm) (102g),12.55,1.08,0.73,0.41,0.37,323.03,102
2228,Mixed nut and ham mooncake,Slice (25g),122.43,2.7,7.65,10.69,1.04,58.38,25
2229,Mixed vegetable bhujjia,Plate-20cm (196g),133.28,3.72,4.51,19.8,5.29,358.68,196
2230,Mixed vegetable kurma,Bowl-soup (16 and 1/2 cm) (441g),542.43,7.5,31.75,56.45,22.05,630.63,441
2231,"Mixed vegetables, frozen",Cup (145g),85.95,3.92,0.29,19,8.56,50.75,145
2232,"Mixed vegetables, with fish ball, claypot",Bowl-soup (16 and 1/2 cm) (537g),96.66,7.52,5.37,4.83,5.37,1374.72,537
2236,Mo kuo kueh,Piece (61g),143.96,3.23,0.24,32.27,0.55,74.42,61
2237,Mocha,Cup (293g),184.59,7.62,5.57,26.37,2.93,134.78,293
2238,Mocha frappuccino with whipped cream,Cup (500g),401.65,11.35,25.55,33.4,0.3,142.15,500
2239,Mock abalone,Plate-23cm (96g),50.88,0.77,2.4,6.53,3.26,391.68,96
2240,Mock barbecue pork,Plate-16cm (121g),198.44,23.23,7.26,10.16,1.69,733.26,121
2241,Mock chicken,Piece (72g),283.68,16.2,18.79,12.38,3.1,1828.8,72
2242,Modified corn starch,Gram (1g),4,0.01,0,0.87,0,2,1
2243,Modified food starch,Gram (1g),3.54,0,0,0.88,0,2.1,1
2244,Modified waxy maize starch,Gram (1g),4,0.01,0,0.87,0,1.5,1
2246,Moon cake,Slice (25g),95.28,1.39,4.33,12.69,0.67,29.18,25
2247,"Mooncake, lotus seed paste, with four egg yolks, baked",Whole (208g),974.9,20.68,67.91,70.24,2.97,435.76,208
2248,"Mooncake, lotus seed paste, with one egg yolk, baked",Whole (188g),787.53,12.8,44.84,83.17,3.89,280.12,188
2249,"Mooncake, lotus seed paste, with two egg yolks, baked",Whole (192g),889.54,16.2,55.18,82,3.4,281.47,192
2250,"Moonfish, raw",Slice (169g),85.2,19.44,0.81,0,0,76.13,169
2251,MOS rice burger with chicken,Whole (160g),321.6,16.8,5.12,52.16,2.72,65.6,160
2252,Muah chee,Plate-16cm (100g),255.02,7.6,9.4,34.8,3.8,7,100
2253,Muesli,Cup (85g),289,8.25,4.17,59.93,6.21,196.35,85
2254,"Muesli bar, chocolate-coated",Piece (31g),124,1.95,4.87,18.1,1.67,32.55,31
2255,"Muesli bar, plain or with dried fruit",Piece (31g),115.63,1.74,4.74,15.75,1.8,26.04,31
2256,"Muesli bar, with chocolate chips",Packet (31g),105.09,1.58,3.91,16.18,1.89,55.8,31
2257,"Muesli bar, with nuts",Whole (31g),127.72,2.64,5.67,15.93,1.49,26.04,31
2258,Muffin,Piece (70g),286.3,4.06,15.75,32.2,0.77,435.4,70
2259,"Muffin, banana",Whole (70g),277.2,4.13,15.26,30.94,0.56,179.9,70
2260,"Muffin, blueberry",Whole (63g),248.22,3.59,12.79,29.74,0.63,309.33,63
2261,"Muffin, english",One half (80g),159.85,7.84,1.12,29.2,2.16,335.2,80
2262,"Muffin, English-style, McDonalds'",1 portion (67g),187.6,5.09,5.29,28.48,2.41,309.54,67
2263,"Muffin, english, toasted",One half (72g),159.87,7.85,1.08,29.23,2.09,335.52,72
2264,"Muffin, plain",Piece (70g),286.3,4.06,15.75,32.2,0.77,435.4,70
2265,Mui fan,Plate-23cm (797g),720.49,32.68,15.94,111.58,3.99,1657.76,797
2266,"Mulberry, raw",Cup (130g),42.79,2.83,0.26,5.53,2.83,7.72,130
2267,"Mullet, bluetail, raw",Whole (100g),53.13,8.51,1.89,0.54,0,26.1,100
2269,Murtabak,Piece (332g),620.84,17.93,33.53,61.75,7.3,1205.16,332
2270,Murukku,Piece (22g),110,2.4,6.62,10.16,1.03,178.42,22
2271,"Mushroom and green pepper italian sauce, ready-to-serve",Cup (260g),179.4,4,6.01,20.02,5.98,941.2,260
2272,Mushroom and minced pork noodles soup,Bowl-soup (16 and 1/2 cm) (594g),380.75,17.46,12.24,50.13,8.49,1731.51,594
2273,Mushroom burger,1 portion (272g),480.84,12.24,23.61,51.54,7.48,2000.15,272
2274,Mushroom risotto,Plate-23cm (420g),777,19.32,49.52,63.84,3.78,1289.4,420
2275,Mushroom soup,Bowl-soup (16 and 1/2 cm) (244g),87.84,2.93,4.95,7.81,0.98,622.2,244
2278,"Mushroom, boiled, drained",Cup (156g),42.51,3.43,0.78,7.96,3.43,3.12,156
2279,"Mushroom, button, canned",Piece (12.3g),4.06,0.09,0,0.92,0.09,38.75,12.3
2280,"Mushroom, chinese, dried",Whole (2.44g),6.15,0.51,0.11,0.77,0.51,0.56,2.44
2281,"Mushroom, chinese, soaked",Packet (624g),411.84,19.34,1.25,80.5,19.34,243.36,624
2282,"Mushroom, common, raw",Cup (81.33g),20.04,2.68,0.24,0.24,1.22,6.51,81.33
2283,"Mushroom, golden, raw",Cup (64g),23.62,1.73,0.32,3.46,0.58,2.56,64
2285,"Mushroom, shitake, raw",Whole (9.78g),3.13,0.2,0.03,0.52,0.09,0.29,9.78
2286,"Mushroom, straw, raw",Cup (182g),41.86,4.91,0.36,4.91,2.91,132.86,182
2287,"Mushrooms, canned, drained",Cup (156g),38.03,2.96,0.47,7.74,4.68,592.8,156
2288,"Mushrooms, grey oyster, raw",Cup (79g),29.27,2.84,0.55,3.24,1.66,4.74,79
2289,"Mushrooms, shitake, cooked",Cup (145g),80.4,2.32,0.29,20.74,3.34,5.8,145
2290,"Mushrooms, shitake, dried",Cup (145g),429.04,13.92,1.45,109.29,30.45,18.85,145
2291,Mushrooom Fritter (Fried Mushroom),1 portion (173g),570.9,6.75,35.62,55.88,5.19,627.99,173
2292,"Mussel, raw",Whole (9.2g),2.12,0.37,0.05,0.04,0,8.81,9.2
2293,"Mussel, smoked, canned in oil, drained",Cup (160g),282.5,33.28,16.64,6.56,0,731.2,160
2294,Mussels,Cup (160g),282.5,33.28,16.64,6.56,0,731.2,160
2295,"Mustard cabbage leaf, Indian, raw",Whole (483g),73.76,6.96,1.74,7.39,3.48,30.43,483
2296,"Mustard cabbage, leaf and stem, highland pickled",Cup (165g),23.1,1.65,0,4.29,3.3,1722.6,165
2297,"Mustard cabbage, leaf and stem, lowland pickled",Stalk (274g),81.86,5.21,0,15.62,5.48,3342.8,274
2298,"Mustard green, leaf, raw",Stalk (97g),23.84,1.73,0.58,2.97,0.66,9.89,97
2300,Mustard seeds,Teaspoon (3g),14.09,0.75,0.86,1.05,0.44,0.15,3
2301,"Mustard Yellow, Subway",Teaspoon (10g),5,0,0,0.62,0,115,10
2302,"Mustard, cream type, commercial",Tablespoon (22g),16.56,1.28,0.68,1.36,0.9,312.4,22
2303,"Mustard, indian, boiled, drained",Cup (140g),21,3.16,0.34,2.94,2.8,22.4,140
2304,"Mustard, powder",Gram (1g),5.8,0.32,0.43,0.19,0.02,0.1,1
2305,Mutton briyani,Plate-23cm (505g),751.95,35.86,24.75,96.46,8.08,1858.4,505
2306,"Mutton chop, spiced",Plate-16cm (49.06g),141.78,16.63,8.34,0.05,0.98,234.51,49.06
2307,Mutton curry puff,Piece (121g),369.05,6.78,19.12,42.47,3.87,695.75,121
2308,Mutton curry with potato,Bowl-soup (16 and 1/2 cm) (190.55g),283.92,33.92,12.39,8.96,3.43,634.53,190.55
2309,Mutton cutlet,Piece (76.51g),227.54,16.88,14.86,6.57,1.16,427,76.51
2310,Mutton dalcha,Bowl-soup (16 and 1/2 cm) (449g),546.96,29.33,42.13,12.81,8.26,1710.15,449
2311,Mutton kofta curry,Bowl-soup (16 and 1/2 cm) (308g),630.87,32.96,48.05,16.02,2.46,2109.8,308
2312,Mutton kurma,Bowl-soup (16 and 1/2 cm) (192g),295.07,21.12,20.54,5.95,0,890.88,192
2313,Mutton masala,Bowl-soup (16 and 1/2 cm) (150g),237,26.85,12.9,3.15,3.45,808.5,150
2314,Mutton rendang,1 portion (204g),371.29,42.23,18.56,8.57,0.2,1309.68,204
2315,Mutton satay,Stick (10g),28.61,2.49,1.13,2.12,0,29.4,10
2316,Mutton vindaloo,Plate-20cm (120g),134.22,11.72,6.1,8.09,1.37,244.85,120
2317,"Mutton vindaloo, with coconut milk",Plate-20cm (416g),738.74,37.86,53.25,26.21,0,1934.4,416
2318,"Mutton with green pepper and potato, stewed (Indian)",1 portion (76.25g),74.65,5.72,4.13,3.66,1.31,126.12,76.25
2319,"Mutton, cooked",Slice (23.67g),50.92,5.49,3.27,0,0,96.57,23.67
2320,"Mutton, raw, lean",Piece (141g),181.88,28.2,7.61,0,0,128.31,141
2321,"Mutton, raw, lean and fat",Cup (215g),382.93,36.77,27.28,0,0,155.96,215
2322,"Mutton, with vegetable, spice, in tomato and chilli sauce, fried (Indian)",Plate-20cm (303g),469.65,30.91,28.79,21.82,5.76,1993.74,303
2323,Mysorepak,Piece (44g),250.36,1.23,15.71,26,0.53,1.32,44
2324,naan,1 portion (113g),344.65,8.02,9.27,57.4,1.81,554.83,113
2325,Nachos,1 serving (195g),411,11.6,24,39.2,6.6,632,195
2326,"Nasi briyani, rice only",1 portion (224g),391.89,6.5,9.86,68.99,2.69,562.24,224
2327,Nasi dagang,Plate-23cm (250g),509.68,8,12.25,91.5,1.25,427.5,250
2328,Nasi daging,Plate-23cm (590g),896.8,37.17,19.47,143.96,11.21,2351.15,590
2329,Nasi goreng,Plate-23cm (377g),741.57,21.49,27.14,102.92,4.15,1466.53,377
2330,Nasi goreng mix,Packet (30g),74.4,4.5,2.37,8.76,1.5,2519.4,30
2331,Nasi goreng sayur,Plate-23cm (430.1g),919.6,14.54,27.23,154.1,1.38,976.76,430.1
2332,Nasi jagung,Plate-23cm (374.5g),497.34,11.01,8.39,94.45,3.07,1493.51,374.5
2334,Nasi kunyit,Plate-20cm (200g),301.2,6,2.64,63.38,0.28,470.8,200
2335,Nasi lemak,Packet (210g),493.5,12.81,13.65,79.99,6.51,837.9,210
2336,Nasi Lemak with chicken wing,Plate-23cm (306g),656.58,26.08,24.94,81.21,6.52,877.09,306
2337,Nasi lemak with fried egg only,Packet (210g),493.5,12.81,13.65,79.99,6.51,837.9,210
2338,"Nasi lemak, rice only",Plate-23cm (200g),379.54,6.2,6.8,73.6,1,344,200
2339,Nasi minyak,Plate-23cm (245g),460.6,7.11,10.05,85.75,2.21,251.13,245
2340,nasi pattaya,Plate-23cm (383g),804.3,26.43,42.13,80.05,4.21,2435.88,383
2341,Nasi rawan,Plate-23cm (426g),719.94,26.84,29.39,87.33,7.67,1124.64,426
2342,Nasi tomato,Plate-20cm (267g),494.56,11.03,13,83.36,3.47,1057.85,267
2343,Nasi uduk,100g,163,2,8,20,1,198,100
2344,Nata de coco,Bowl-soup (16 and 1/2 cm) (528g),339.19,0,0.46,83.17,1.86,9.29,528
2345,Natto,1 serving (7g),14.8,1.4,0.8,0.9,0.4,0.49,7
2346,Natural yoghurt,Cup (150g),108.99,7.05,5.1,7.05,0,82.5,150
2347,Nectarine,Whole (80g),28.35,0.89,0.07,6.03,1.56,0,80
2348,"Ngoh hiang, meat roll",Cylindrical Piece/Tube (59g),228.33,7.14,15.16,15.81,0.77,290.87,59
2349,"Ngoh hiang, meat roll, bung bung",Piece (72g),110.16,6.34,3.38,13.75,2.59,868.32,72
2350,"Ngoh hiang, mixed items",Piece (30g),68.33,2.28,3.75,6.3,0.78,145.8,30
2351,"Ngoh hiang, prawn fritter, crispy",Piece (49g),291.55,3.92,24.4,14.11,0.74,217.07,49
2352,"Ngoh hiang, prawn fritter, dough",Piece (72g),180.72,5.47,10.3,16.56,1.51,251.28,72
2353,"Ngoh hiang, sausage",Piece (49g),74.97,6.96,2.99,5.1,0.44,213.64,49
2354,"Ngoh hiang, yam meat roll",Piece (60g),178.8,3.48,8.22,22.8,1.44,292.2,60
2355,Nian gao,Whole (423g),977.13,13.54,2.12,225.46,0,25.38,423
2356,Noni fruit juice,Bottle (955g),171.9,5.73,0.96,34.38,2.87,162.35,955
2357,Nonya chap chye,Plate-20cm (120g),106.41,2.28,8.04,6.12,2.52,434.4,120
2358,Nonya rice dumpling,Whole (164.7g),314.91,8.4,7.91,52.21,1.81,494.1,164.7
2359,Nonya style meat roll,Piece (186g),280.67,21.86,17.76,8.35,6.64,440.45,186
2360,"Noodle snack, chicken flavoured, dried",Packet (30g),136.8,3.3,4.68,20.37,0.21,183.9,30
2361,Noodle soup,1 cup (233g),156,3.6,6.2,21.4,0.9,666,233
2362,"Noodles, dried",Cup (70g),233.05,7.56,0.77,49,2.31,429.8,70
2363,"Noodles, dried, instant, without seasoning",Cup (68g),288.32,6.66,9.66,43.66,0.48,70.04,68
2364,"Noodles, egg, cooked, unenriched",Cup (160g),220.8,7.2,3.36,38.34,1.92,8,160
2365,"Noodles, egg, dry, unenriched",Cup (38g),144.78,5.4,1.67,25.83,1.25,7.98,38
2366,"Noodles, instant, chicken abalone flavour, drained, without seasoning",Plate-20cm (170g),389.3,8.5,14.11,57.12,2.38,103.7,170
2367,"Noodles, instant, chicken abalone flavour,with seasoning, cooked",Bowl-soup (16 and 1/2 cm) (496g),421.6,8.93,16.37,59.52,2.48,1740.96,496
2368,"Noodles, instant, chicken abalone, with seasoning, uncooked",Packet (85g),382.5,8,14.96,53.98,3,1890.4,85
2369,"Noodles, instant, chicken curry, with seasoning, uncooked",Packet (85g),384.78,8.42,13.86,56.1,0.26,1500,85
2370,"Noodles, instant, chicken tanmen, with seasoning, uncooked",Packet (85g),379.1,7.98,14.97,53.87,2.99,1885.3,85
2371,"Noodles, instant, cooked (HCS)",Bowl-soup (16 and 1/2 cm) (500g),480,13,13.5,76,3.5,1395,500
2372,"Noodles, instant, dry, with seasoning, cooked",Bowl-rice (11and 1/2 cm) (160g),329.6,8.32,14.42,41.6,1.44,827.2,160
2373,"Noodles, instant, shrimp tanmen, with seasoning, uncooked",Packet (85g),379.95,7.26,14,53.98,3,1889.98,85
2374,"Noodles, instant, soup with seasoning, cooked",Bowl-soup (16 and 1/2 cm) (503g),467.79,12.58,18.81,61.87,3.02,2278.59,503
2375,"Noodles, laksa, thick, dried",Piece (128g),443.9,10.24,0.26,100.1,2.3,1.28,128
2376,"Noodles, laksa, thick, wet",Cup (118g),182.75,0.24,0.12,45.08,0.47,22.42,118
2377,"Noodles, rice",Cup (141g),177.6,0.85,0.42,42.58,1.41,7.05,141
2380,"Noodles, with prawn, tofu and vegetables, soup",Bowl-soup (16 and 1/2 cm) (741.95g),455.14,25.36,21.44,40.24,8.62,1359.01,741.95
2381,"Nougat, apricot",Packet (70g),258.99,1.61,3.29,55.23,0.49,4.2,70
2382,"Nutmeg, fresh",Whole (medium) (136g),568.75,8.25,40.59,42.71,23.2,2.23,136
2383,"Nutmeg, ground",Teaspoon (2.2g),11.54,0.13,0.8,1.08,0.46,0.36,2.2
2385,Nutrifos 088 sodium tripolyphosphate,Gram (1g),0,0,0,0,0,31.1,1
2386,"Nutrigrain, kelloggs",Cup (44g),168.37,9.24,1.19,31.46,2.68,293.04,44
2387,"Nuts, almonds",Cup (143g),330.62,12.16,28.97,11.29,6.75,0.57,143
2388,"Nuts, almonds, blanched",Cup (145g),842.45,31.81,73.4,28.91,15.08,40.6,145
2389,"Nuts, almonds, dry roasted, with salt added",Cup (138g),821.1,28.98,71.83,14.21,15.04,467.82,138
2390,"Nuts, brazil nuts, dried, unblanched",Cup (133g),444.96,9.71,45.06,8.32,5.09,2.03,133
2392,"Nuts, cashew nut, raw",Whole (2.4g),9.59,0.35,0.77,0.31,0.05,0.33,2.4
2393,"Nuts, cashew nuts, dry roasted, without salt added",Cup (137g),786.38,20.97,63.5,40.68,4.11,21.92,137
2394,"Nuts, cashew nuts, oil roasted, with salt added",Cup (129g),749.49,21.72,61.62,38.91,4.26,397.32,129
2395,"Nuts, chestnut, Chinese",Whole (9g),16.55,0.32,0.25,3.27,0.44,0.36,9
2396,"Nuts, chestnuts, Chinese, dried",Cup (240g),871.2,16.37,4.34,191.42,5.28,12,240
2398,"Nuts, gingko nuts, boiled",Piece (21g),34.63,0.9,0.27,7.14,0.04,0.63,21
2399,"Nuts, gingko nuts, raw",Piece (1.56g),2.68,0.07,0.03,0.54,0,0.02,1.56
2400,"Nuts, hazelnuts",Cup (140g),404.43,9.63,39.12,10.75,6.25,0,140
2401,"Nuts, mixed nuts, oil roasted, with peanuts, with salt added",Cup (142g),876.14,23.8,79.99,30.4,12.78,594.98,142
2402,"Nuts, mixed, deep fried",Cup (94g),485.51,17.59,36.58,21.51,8.55,410.69,94
2403,"Nuts, peanut, salted, dry roasted",Cup (155g),965.65,38.75,82.15,17.83,9.92,651,155
2404,"Nuts, peanut, with shell, dry roasted",1 portion (56g),217.31,10.56,18.2,3.09,3.97,2.18,56
2405,"Nuts, peanuts, all types, oil-roasted, with salt",Cup (144g),862.56,40.36,75.6,21.97,13.54,460.8,144
2406,"Nuts, peanuts, all types, oil-roasted, without salt",Cup (133g),772.73,35.05,65.57,25.16,9.18,7.98,133
2407,"Nuts, pine nut, raw",Tablespoon (14g),98,1.82,9.8,0.63,0.71,0.42,14
2408,"Nuts, pistachio nuts, dry roasted, with salt added",Whole (small) (.7g),3.95,0.15,0.31,0.13,0.07,3,0.7
2409,"Nuts, pistachio nuts, dry roasted, without salt added",Cup (128g),380.06,14.21,30.6,18.4,6.86,6.66,128
2410,"Nuts, pistachio nuts, raw",Cup (123g),363.11,13.44,28.97,18.23,6.71,0.65,123
2411,"Oat biscuit, with hazelnut (HCS)",Piece (8.6g),41.28,0.77,1.63,5.85,0.69,17.37,8.6
2412,Oat fibre,Cup (94g),14.1,0.49,0.28,88.36,88.36,65.8,94
2413,"Oat, bran, raw",Cup (11g),39.68,1.77,0.77,5.5,1.75,0.44,11
2414,"Oat, processed, tinned",Cup (43g),158.67,5.07,1.72,30.7,2.28,3.44,43
2415,"Oat, rolled, boiled",Cup (260g),169.81,5.2,3.64,26.52,4.42,2.6,260
2416,"Oat, rolled, raw",Cup (95g),357.28,10.45,8.27,55.2,9.03,6.65,95
2417,Oatmeal,1 serving (60g),220,7,7,38,6,90,60
2418,"Oatmeal Raisin Cookies, Subway",Whole (45g),199.8,3.15,8.1,30,1,170.1,45
2420,"Ocean Catch Pizza, Pizza Hut",Slice (80g),171.2,10.64,7.12,16.24,1.84,452,80
2421,"Octopus ball, fried",Piece (30g),57,1.98,3.06,5.37,0.54,136.5,30
2422,"Octopus, nugget, deep fried",Piece (10g),16.2,1.54,0.57,1.23,0.21,65,10
2423,"Octopus, raw",Cup (226.7g),152.43,27.72,1.93,4.09,0,427.56,226.7
2424,Oden,1 serving (92g),153,9,6,16,0,1720,92
2425,Oil based dressing,Bowl-rice (11and 1/2 cm) (47g),145.23,0.56,13.11,6.3,0.24,265.55,47
2426,"Oil, blended",Tablespoon (15g),135,0,15,0,0,1.8,15
2427,"Oil, blended (HCS)",Tablespoon (15g),134.1,0,14.91,0,0,0.15,15
2428,"Oil, blended (Healthier Hawker)",Teaspoon (5g),44.85,0,4.98,0,0,0.6,5
2429,"Oil, canola",Tablespoon (15g),135,0,15,0,0,0,15
2430,"Oil, canola and olive blend",Teaspoon (5g),41.5,0,4.6,0,0,0,5
2432,"Oil, chilli",Tablespoon (15g),67.5,0,15,0,0,0,15
2434,"Oil, corn",Tablespoon (15g),132.78,0,15,0,0,0,15
2435,"Oil, garlic, pure",Tablespoon (15g),133.65,0,14.85,0,0,0.08,15
2436,"Oil, grapeseed",Tablespoon (18g),159.12,0,18,0,0,0,18
2437,"Oil, MUFA, unspecified type",Tablespoon (12g),106.44,0,12,0,0,0.28,12
2438,"Oil, olive",Tablespoon (15g),135,0,15,0,0,0,15
2439,"Oil, palm crude",Tablespoon (15g),135,0,15,0,0,0,15
2440,"Oil, palm olein",Tablespoon (15g),135,0,15,0,0,0.75,15
2441,"Oil, peanut",Tablespoon (15g),132.78,0,15,0,0,0,15
2442,"Oil, polyunsaturated, blended",Tablespoon (15g),135,0,15,0,0,0,15
2443,"Oil, PUFA, unspecified type",Tablespoon (12g),106.2,0,12,0,0,0.14,12
2444,"Oil, safflower",Tablespoon (15g),132.78,0,15,0,0,0,15
2445,"Oil, sesame",Tablespoon (15g),135,0,15,0,0,2.4,15
2446,"Oil, SFA, unspecificed type",Tablespoon (12g),107.58,0.08,11.92,0,0,38.34,12
2447,"Oil, soya bean",Tablespoon (15g),132.78,0,15,0,0,0,15
